window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
44,2020-08-06,2022-08-05,23,False,True,True,2,0.2889,0.5,"[1, 1, 0, 2, 1, 2, 1, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0]","[0, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 0, 2, 2, 0, 0, 2, 0, 2, 0, 2]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.7576,{},,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
45,2020-09-04,2022-09-06,20,False,False,False,3,0.4831,0.75,"[0, 2, 2, 2, 2, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2]","[0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 0, 2]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.7157,{},,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
46,2020-10-06,2022-10-05,20,True,True,False,0,0.4981,0.8,"[1, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.75,"{""(0, 3, 0)"": 0.667, ""(3, 7, 0)"": 0.333, ""(5, 5, 3)"": 0.333, ""(1, 3, 0)"": 0.667, ""(0, 2, 1)"": 0.667, ""(0, 5, 0)"": 0.333, ""(10, 10, 3)"": 0.333, ""(6, 6, 3)"": 0.333, ""(0, 3, 2)"": 0.667, ""(6, 10, 0)"": 0.667, ""(7, 5, 1)"": 0.333, ""(1, 9, 2)"": 0.333, ""(3, 0, 4)"": 0.333}",,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
47,2020-11-04,2022-11-03,21,False,False,True,1,0.6382,0.8235,"[0, 2, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 0, 2, 2, 1, 0, 1, 2, 1, 1]","[0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 2, 2, 1]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.8841,{},,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
48,2020-12-04,2022-12-05,18,False,False,True,2,0.3772,0.5556,"[0, 0, 1, 2, 0, 2, 2, 0, 0, 0, 0, 1, 2, 0, 2, 0, 0, 2, 1, 0, 2]","[0, 0, 2, 2, 0, 0, 2, 2, 0, 1, 0, 2, 2, 2, 1, 1, 1, 2, 2, 0, 0]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.8551,{},,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
49,2021-01-06,2023-01-05,17,True,True,False,0,0.5325,0.5,"[0, 2, 1, 2, 2, 1, 1, 1, 0, 0, 2, 2, 1, 1, 2, 1, 0, 2, 2, 2, 0]","[0, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 0]","{""C"": 1.0000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.8116,"{""(0, 3, 0)"": 0.333, ""(0, 2, 1)"": 0.333, ""(0, 3, 2)"": 0.333, ""(6, 6, 3)"": 0.333, ""(6, 10, 0)"": 0.667, ""(1, 9, 0)"": 0.667, ""(0, 6, 0)"": 0.333, ""(2, 6, 0)"": 0.667}",,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
50,2021-02-05,2023-02-06,15,False,False,True,1,0.4512,0.2857,"[0, 2, 0, 0, 1, 2, 1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 2, 2, 1, 0]","[1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1, 1, 0]","{""C"": 1.0000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.8772,{},,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
51,2021-03-09,2023-03-08,29,False,True,True,2,0.3981,0.3571,"[1, 0, 0, 1, 2, 0, 2, 0, 2, 2, 0, 1, 2, 1, 1, 2, 2, 2, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1]","{""C"": 1.0000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.6559,{},,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
52,2021-04-08,2023-04-06,18,False,False,False,3,0.404,0.2727,"[1, 1, 1, 0, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 2, 2, 1, 0, 0, 0, 2]","[1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2]","{""C"": 1.0000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.6667,{},,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
53,2021-05-07,2023-05-08,31,True,True,False,0,0.3624,0.1667,"[1, 0, 2, 1, 1, 1, 0, 2, 2, 1, 1, 0, 0, 2, 2, 1, 0, 2, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","{""C"": 0.10000000000000003, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.7222,"{""(6, 9, 0)"": 0.333, ""(3, 5, 0)"": 0.333, ""(3, 7, 0)"": 0.333, ""(4, 5, 0)"": 0.667, ""(9, 8, 3)"": 0.667, ""(5, 5, 3)"": 0.667, ""(0, 2, 1)"": 0.333, ""(4, 6, 0)"": 0.667, ""(10, 9, 1)"": 0.333, ""(1, 3, 2)"": 0.667, ""(6, 10, 0)"": 0.667, ""(9, 2, 1)"": 0.333, ""(10, 10, 5)"": 0.333, ""(10, 10, 2)"": 0.333, ""(3, 10, 3)"": 0.333, ""(7, 0, 1)"": 0.333, ""(4, 5, 1)"": 0.667, ""(1, 3, 1)"": 0.333, ""(6, 10, 5)"": 0.667}",,msm_tau_1_0.88_tau_2_0.78_lb_3,lr
