Date,SPY,QQQ,IWM,TLT,GLD,HYG,UUP,VIX,OVX,MOVE,USO
2017-01-03,194.9989471435547,112.42215728759766,120.88616943359375,93.16197967529297,110.47000122070312,53.85137176513672,22.30519676208496,12.850000381469727,32.880001068115234,76.7300033569336,91.5199966430664
2017-01-04,196.15902709960938,113.03346252441406,122.90210723876953,93.52015686035156,110.86000061035156,54.1425895690918,22.13811683654785,11.850000381469727,32.36000061035156,76.41000366210938,92.63999938964844
2017-01-05,196.0032196044922,113.67298126220703,121.48379516601562,94.9841079711914,112.58000183105469,54.06206512451172,21.904205322265625,11.670000076293945,31.559999465942383,76.5,93.5999984741211
2017-01-06,196.7044219970703,114.66983032226562,121.03779602050781,94.1119613647461,111.75,54.04964065551758,22.06293296813965,11.319999694824219,30.469999313354492,75.23999786376953,93.44000244140625
2017-01-09,196.05514526367188,115.04602813720703,120.24390411376953,94.8673324584961,112.66999816894531,54.03728485107422,22.00444984436035,11.5600004196167,33.72999954223633,74.83000183105469,90.4800033569336
2017-01-10,196.05514526367188,115.29993438720703,121.39460754394531,94.80498504638672,113.1500015258789,54.04344940185547,22.012807846069336,11.489999771118164,33.61000061035156,73.26000213623047,88.55999755859375
2017-01-11,196.60922241210938,115.61030578613281,121.60869598388672,95.12425231933594,113.5,54.07442855834961,21.962682723999023,11.260000228881836,32.95000076293945,72.83000183105469,90.95999908447266
2017-01-12,196.11573791503906,115.43161010742188,120.67208099365234,94.91401672363281,113.91000366210938,54.08683395385742,21.87914276123047,11.539999961853027,32.369998931884766,73.73999786376953,92.31999969482422
2017-01-13,196.5659942626953,115.82660675048828,121.54627227783203,94.46236419677734,114.20999908447266,54.10542678833008,21.854080200195312,11.229999542236328,30.729999542236328,74.5,91.27999877929688
2017-01-17,195.8733367919922,115.47863006591797,119.89600372314453,95.45133209228516,115.8499984741211,54.04964065551758,21.653581619262695,11.869999885559082,31.25,73.94000244140625,91.44000244140625
2017-01-18,196.3062286376953,115.71376037597656,120.28849792480469,94.22874450683594,114.87000274658203,54.09923553466797,21.854080200195312,12.479999542236328,31.239999771118164,73.94000244140625,89.27999877929688
2017-01-19,195.57899475097656,115.65733337402344,119.30732727050781,93.58245849609375,114.7699966430664,53.92571258544922,21.820663452148438,12.779999732971191,30.8799991607666,78.31999969482422,89.36000061035156
2017-01-20,196.29757690429688,115.9112319946289,119.92278289794922,93.39559173583984,115.05000305175781,54.03105545043945,21.7454776763916,11.539999961853027,29.190000534057617,76.70999908447266,91.12000274658203
