Date,SPY,QQQ,IWM,VIX,UUP,TLT,GLD,HYG,MOVE,USO,OVX
2017-01-03,194.99896240234375,112.42214965820312,120.88617706298828,12.850000381469727,22.305198669433594,93.16197204589844,110.47000122070312,53.85139846801758,76.7300033569336,91.5199966430664,32.880001068115234
2017-01-04,196.1590118408203,113.03345489501953,122.90211486816406,11.850000381469727,22.13811683654785,93.52017974853516,110.86000061035156,54.142601013183594,76.41000366210938,92.63999938964844,32.36000061035156
2017-01-05,196.003173828125,113.67295837402344,121.48387145996094,11.670000076293945,21.904205322265625,94.98409271240234,112.58000183105469,54.06204605102539,76.5,93.5999984741211,31.559999465942383
2017-01-06,196.70448303222656,114.66983795166016,121.03781127929688,11.319999694824219,22.06292724609375,94.11197662353516,111.75,54.04964065551758,75.23999786376953,93.44000244140625,30.469999313354492
2017-01-09,196.0551300048828,115.04605102539062,120.24394226074219,11.5600004196167,22.004453659057617,94.86730194091797,112.66999816894531,54.03725814819336,74.83000183105469,90.4800033569336,33.72999954223633
2017-01-10,196.0551300048828,115.2999496459961,121.39460754394531,11.489999771118164,22.012805938720703,94.80501556396484,113.1500015258789,54.043495178222656,73.26000213623047,88.55999755859375,33.61000061035156
2017-01-11,196.6092529296875,115.61028289794922,121.60867309570312,11.260000228881836,21.96268081665039,95.12427520751953,113.5,54.074424743652344,72.83000183105469,90.95999908447266,32.95000076293945
2017-01-12,196.1157684326172,115.43162536621094,120.67208862304688,11.539999961853027,21.879140853881836,94.91401672363281,113.91000366210938,54.08679962158203,73.73999786376953,92.31999969482422,32.369998931884766
2017-01-13,196.56594848632812,115.82659149169922,121.5462646484375,11.229999542236328,21.854080200195312,94.46238708496094,114.20999908447266,54.105411529541016,74.5,91.27999877929688,30.729999542236328
2017-01-17,195.87335205078125,115.47864532470703,119.89604187011719,11.869999885559082,21.653583526611328,95.45133209228516,115.8499984741211,54.04964065551758,73.94000244140625,91.44000244140625,31.25
2017-01-18,196.3062286376953,115.71375274658203,120.28852081298828,12.479999542236328,21.854080200195312,94.2287826538086,114.87000274658203,54.099212646484375,73.94000244140625,89.27999877929688,31.239999771118164
2017-01-19,195.57901000976562,115.6573257446289,119.30731964111328,12.779999732971191,21.82066535949707,93.58245086669922,114.7699966430664,53.92571258544922,78.31999969482422,89.36000061035156,30.8799991607666
2017-01-20,196.29754638671875,115.91123962402344,119.9228286743164,11.539999961853027,21.745479583740234,93.39559173583984,115.05000305175781,54.03108215332031,76.70999908447266,91.12000274658203,29.190000534057617
2017-01-23,195.78675842285156,116.00526428222656,119.42323303222656,11.770000457763672,21.62851905822754,94.32998657226562,115.79000091552734,54.03108215332031,75.5199966430664,90.55999755859375,30.790000915527344
2017-01-24,197.04214477539062,116.78587341308594,121.25187683105469,11.069999694824219,21.63687515258789,93.68373107910156,115.2699966430664,54.06825256347656,75.52999877929688,90.95999908447266,29.59000015258789
2017-01-25,198.74758911132812,117.96144104003906,122.39366149902344,10.8100004196167,21.561689376831055,92.50788116455078,114.31999969482422,54.26033020019531,77.05999755859375,90.4800033569336,30.40999984741211
2017-01-26,198.53982543945312,118.08368682861328,121.90306091308594,10.630000114440918,21.703704833984375,92.81929779052734,113.26000213623047,54.23554992675781,74.69000244140625,92.23999786376953,29.59000015258789
2017-01-27,198.2281494140625,118.30937957763672,121.48387145996094,10.579999923706055,21.712064743041992,93.15418243408203,113.48999786376953,54.28510665893555,72.19000244140625,91.19999694824219,29.780000686645508
2017-01-30,196.998779296875,117.38775634765625,119.78895568847656,11.880000114440918,21.670289993286133,92.87381744384766,113.97000122070312,54.17357635498047,72.36000061035156,90.23999786376953,30.940000534057617
2017-01-31,196.98146057128906,117.15265655517578,120.62749481201172,11.989999771118164,21.49485969543457,93.52017974853516,115.55000305175781,54.11781311035156,72.5199966430664,90.55999755859375,31.329999923706055
2017-02-01,197.05938720703125,117.96144104003906,120.55609130859375,11.8100004196167,21.511566162109375,92.94190979003906,115.19999694824219,54.31819534301758,70.83999633789062,91.83999633789062,30.649999618530273
2017-02-02,197.18923950195312,117.8580093383789,120.2528305053711,11.930000305175781,21.544981002807617,92.90292358398438,115.83999633789062,54.34931564331055,69.91999816894531,92.08000183105469,29.389999389648438
2017-02-03,198.54852294921875,118.19656372070312,122.09034729003906,10.970000267028809,21.536624908447266,92.86392211914062,116.12999725341797,54.44267654418945,67.38999938964844,92.31999969482422,28.110000610351562
2017-02-06,198.1935272216797,118.33763122558594,121.1716079711914,11.369999885559082,21.553335189819336,93.42573547363281,117.69999694824219,54.40533447265625,67.55000305175781,91.04000091552734,29.3700008392334
2017-02-07,198.20220947265625,118.77022552490234,120.63642883300781,11.289999961853027,21.661935806274414,94.11248779296875,117.45999908447266,54.32441329956055,68.06999969482422,89.5199966430664,29.610000610351562
2017-02-08,198.46192932128906,118.96772003173828,120.42233276367188,11.449999809265137,21.63687515258789,95.39231872558594,118.19000244140625,54.36177062988281,68.73999786376953,89.83999633789062,29.09000015258789
2017-02-09,199.6393280029297,119.40032958984375,122.11713409423828,10.880000114440918,21.720417022705078,94.29194641113281,117.29000091552734,54.43644714355469,68.94999694824219,90.80000305175781,28.25
2017-02-10,200.4271240234375,119.79534149169922,123.04486083984375,10.850000381469727,21.745479583740234,94.23731231689453,117.5999984741211,54.47380447387695,69.62999725341797,92.0,26.43000030517578
2017-02-13,201.5179443359375,120.47245788574219,123.3659896850586,11.069999694824219,21.795602798461914,93.94081115722656,116.80000305175781,54.55469512939453,68.83000183105469,90.55999755859375,26.989999771118164
