window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
1,2017-01-04,2019-01-04,22,False,False,False,0,0.6049,0.8235,"[2, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 2, 1, 2]","[2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 1, 2, 0, 2, 2, 0, 2, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",1.0,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
2,2017-02-03,2019-02-05,14,False,False,True,1,0.2619,0.5,"[2, 0, 0, 1, 1, 2, 2, 0, 2, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 0]","[0, 2, 0, 0, 0, 1, 2, 0, 2, 0, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",1.0,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
3,2017-03-07,2019-03-07,19,False,False,True,2,0.5161,0.6875,"[0, 0, 2, 2, 2, 1, 2, 2, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 1, 1, 2]","[0, 0, 2, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 1, 0, 2, 2, 2, 1, 2, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",1.0,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
4,2017-04-05,2019-04-05,15,False,False,False,3,0.5769,0.6667,"[2, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 0]","[2, 2, 0, 1, 2, 2, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 2, 0, 2, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",1.0,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
5,2017-05-05,2019-05-07,15,False,False,False,4,0.7529,0.7619,"[0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2]","[0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.625,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
6,2017-06-06,2019-06-06,15,False,False,False,5,0.3357,0.5625,"[2, 2, 2, 1, 0, 2, 1, 1, 2, 2, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 1]","[2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 1, 0, 1, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.625,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
7,2017-07-06,2019-07-08,26,False,False,False,6,0.3429,0.4737,"[0, 1, 2, 2, 2, 1, 0, 0, 2, 0, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 0, 1, 0, 1, 0, 0, 1, 2, 1, 1, 0, 2, 1, 2, 0, 0, 0, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.625,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
8,2017-08-04,2019-08-06,24,False,False,False,7,0.4762,0.7778,"[2, 1, 2, 0, 0, 2, 0, 2, 2, 2, 0, 2, 1, 0, 2, 0, 2, 2, 1, 0, 2]","[0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.5,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
9,2017-09-05,2019-09-05,19,True,True,False,0,0.3058,0.6154,"[2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2]","[2, 2, 2, 0, 1, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.5,"{""(7, 10, 5)"": 0.25, ""(3, 10, 0)"": 0.25}",,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
10,2017-10-04,2019-10-04,21,False,False,True,1,0.3763,0.6667,"[2, 0, 0, 2, 2, 2, 1, 2, 0, 1, 0, 2, 0, 1, 1, 2, 2, 1, 1, 0, 2]","[2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 0, 0, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",0.5,{},,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,xgboost
