model_type,retrainer,exp_type,mean_rank,n_windows
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,58.5723,83
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,58.5723,83
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,58.5723,83
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,58.5723,83
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,58.5723,83
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,58.6446,83
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,58.6446,83
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,58.6446,83
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,58.6446,83
lr,fixed_9,fixed,58.9398,83
lr,perf_drop_0.1_lookback_4,perf,59.2952,83
lr,fixed_3,fixed,59.4398,83
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,59.494,83
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,59.494,83
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,59.494,83
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,59.494,83
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,59.494,83
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,59.8554,83
lr,perf_drop_0.2_lookback_3,perf,60.1687,83
lr,random,random,60.9157,83
lr,perf_drop_0.15_lookback_4,perf,61.3434,83
lr,perf_drop_0.1_lookback_6,perf,62.5783,83
lr,fixed_12,fixed,64.1265,83
lr,perf_drop_0.15_lookback_6,perf,65.7651,83
lr,perf_drop_0.2_lookback_4,perf,67.2952,83
lr,adwin_delta_0.1,adwin,67.5,83
lr,adwin_delta_0.05,adwin,67.5,83
lr,static,static,67.5,83
lr,perf_drop_0.2_lookback_6,perf,67.5,83
lr,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,68.4639,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,68.8494,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,68.8494,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,70.7108,83
lr,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,70.7108,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,70.7108,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,70.7108,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,70.7108,83
lr,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,70.8614,83
lr,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,71.1747,83
lr,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,71.1747,83
lr,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,71.1747,83
lr,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,71.8012,83
lr,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,71.8012,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,72.0241,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,72.0241,83
lr,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,72.8976,83
lr,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,72.8976,83
lr,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,72.8976,83
lr,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,72.8976,83
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,72.8976,83
lr,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,72.8976,83
lr,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,72.8976,83
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,72.8976,83
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,50.3735,83
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,50.3916,83
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,50.3916,83
rf,perf_drop_0.03_lookback_6,perf,51.1386,83
rf,perf_drop_0.1_lookback_3,perf,52.4398,83
rf,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,52.506,83
rf,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,52.506,83
rf,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,52.506,83
rf,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,52.506,83
rf,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,52.506,83
rf,fixed_3,fixed,52.6084,83
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,53.6325,83
rf,fixed_6,fixed,53.741,83
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,54.0361,83
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,54.0361,83
rf,perf_drop_0.05_lookback_6,perf,54.3313,83
rf,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,54.3494,83
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,54.9096,83
rf,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,54.9096,83
rf,perf_drop_0.03_lookback_3,perf,56.1265,83
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,56.2229,83
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,56.2229,83
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,56.2229,83
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,56.2229,83
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,56.2229,83
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,56.4157,83
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,56.4157,83
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,56.4157,83
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,56.4157,83
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,56.4157,83
