model_type,retrainer,exp_type,total_retrains,true_positives,false_positives,false_positive_rate,precision
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,18,2,16,0.8889,0.1111
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,20,2,18,0.9,0.1
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,20,2,18,0.9,0.1
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,16,2,14,0.875,0.125
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,16,2,14,0.875,0.125
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,19,2,17,0.8947,0.1053
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,19,2,17,0.8947,0.1053
