model_type,exp_type,tau_1,tau_2,lookback,mean_f1,std_f1,mean_dir_accuracy,retrains
rf,causal,0.88,0.75,6.0,0.3862,0.1159,0.4514,18
rf,causal,0.88,0.78,6.0,0.3862,0.1159,0.4514,18
rf,causal,0.83,0.78,3.0,0.3852,0.1295,0.4258,18
rf,causal,0.88,0.72,3.0,0.3844,0.1177,0.4446,19
rf,causal,0.88,0.75,3.0,0.3844,0.1177,0.4446,19
rf,causal,0.88,0.78,3.0,0.3844,0.1177,0.4446,19
rf,causal,0.88,0.72,4.0,0.3784,0.1325,0.4221,19
rf,causal,0.88,0.75,4.0,0.3784,0.1325,0.4221,19
rf,msm,0.8,0.72,4.0,0.4289,0.1085,0.5345,19
rf,msm,0.8,0.75,4.0,0.4289,0.1085,0.5345,19
rf,msm,0.83,0.72,4.0,0.4289,0.1085,0.5345,19
rf,msm,0.83,0.75,4.0,0.4289,0.1085,0.5345,19
rf,msm,0.83,0.78,4.0,0.4289,0.1085,0.5345,19
rf,msm,0.88,0.78,4.0,0.4273,0.1096,0.5321,19
rf,msm,0.8,0.72,3.0,0.4251,0.1034,0.5208,16
rf,msm,0.8,0.75,3.0,0.4251,0.1034,0.5208,16
rf,msm,0.83,0.78,3.0,0.4251,0.0977,0.5212,18
rf,msm,0.8,0.72,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.8,0.75,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.83,0.72,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.83,0.75,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.83,0.78,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.88,0.72,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.88,0.75,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.88,0.78,6.0,0.4224,0.1091,0.5262,18
rf,msm,0.83,0.72,3.0,0.4222,0.0963,0.5231,18
rf,msm,0.83,0.75,3.0,0.4222,0.0963,0.5231,18
rf,msm,0.88,0.72,4.0,0.4192,0.1107,0.5289,19
rf,msm,0.88,0.75,4.0,0.4192,0.1107,0.5289,19
rf,msm,0.88,0.72,3.0,0.4173,0.0967,0.5189,19
rf,msm,0.88,0.75,3.0,0.4173,0.0967,0.5189,19
rf,msm,0.88,0.78,3.0,0.4173,0.0967,0.5189,19
rf,spy_msm,0.88,0.78,3.0,0.4321,0.1011,0.5377,16
rf,spy_msm,0.88,0.72,3.0,0.4227,0.098,0.5349,15
rf,spy_msm,0.88,0.75,3.0,0.4227,0.098,0.5349,15
rf,spy_msm,0.88,0.78,4.0,0.4224,0.1008,0.5351,17
rf,spy_msm,0.88,0.72,4.0,0.4197,0.1024,0.5333,17
rf,spy_msm,0.88,0.75,4.0,0.4197,0.1024,0.5333,17
rf,spy_msm,0.8,0.72,3.0,0.4184,0.1014,0.5142,15
