model_type,retrainer,exp_type,retrain_rate_calm,retrain_rate_stress,stress_calm_ratio
xgboost,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,0.2267,0.25,1.1028
xgboost,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,0.2267,0.25,1.1028
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
xgboost,perf_drop_0.03_lookback_3,perf,0.24,0.25,1.0417
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,0.24,0.25,1.0417
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,0.24,0.25,1.0417
xgboost,perf_drop_0.05_lookback_6,perf,0.1333,0.125,0.9377
xgboost,perf_drop_0.1_lookback_3,perf,0.1467,0.125,0.8521
xgboost,fixed_6,fixed,0.16,0.125,0.7812
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,0.1867,0.125,0.6695
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,0.2,0.125,0.625
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,0.2133,0.125,0.586
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,0.2133,0.125,0.586
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,0.2133,0.125,0.586
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,0.2133,0.125,0.586
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,0.2133,0.125,0.586
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,0.2133,0.125,0.586
xgboost,perf_drop_0.15_lookback_4,perf,0.0933,0.0,0.0
xgboost,perf_drop_0.2_lookback_3,perf,0.0267,0.0,0.0
xgboost,random,random,0.08,0.0,0.0
xgboost,adwin_delta_0.01,adwin,0.0,0.0,
xgboost,adwin_delta_0.05,adwin,0.0,0.0,
xgboost,adwin_delta_0.1,adwin,0.0,0.0,
xgboost,perf_drop_0.2_lookback_4,perf,0.0,0.0,
xgboost,perf_drop_0.2_lookback_6,perf,0.0,0.0,
xgboost,static,static,0.0,0.0,
