model_type,retrainer,exp_type,retrain_rate_calm,retrain_rate_stress,stress_calm_ratio
lr,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,0.2267,0.25,1.1028
lr,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,0.24,0.25,1.0417
lr,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,0.24,0.25,1.0417
lr,perf_drop_0.15_lookback_3,perf,0.1333,0.125,0.9377
lr,fixed_6,fixed,0.16,0.125,0.7812
lr,perf_drop_0.1_lookback_3,perf,0.1867,0.125,0.6695
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,0.1867,0.125,0.6695
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,0.1867,0.125,0.6695
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,0.1867,0.125,0.6695
lr,perf_drop_0.03_lookback_3,perf,0.2,0.125,0.625
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,0.2,0.125,0.625
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,0.2133,0.125,0.586
