model_type,retrainer,exp_type,mean_f1_calm,mean_f1_stress,n_calm,n_stress,f1_stress_minus_calm
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,0.4355,0.4034,75.0,8.0,-0.0321
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,0.4355,0.4034,75.0,8.0,-0.0321
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,0.4355,0.4034,75.0,8.0,-0.0321
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,0.4355,0.4034,75.0,8.0,-0.0321
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,0.4355,0.4034,75.0,8.0,-0.0321
xgboost,random,random,0.4184,0.3846,75.0,8.0,-0.0338
xgboost,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,0.4262,0.3898,75.0,8.0,-0.0364
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,0.4262,0.3898,75.0,8.0,-0.0364
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,0.4262,0.3898,75.0,8.0,-0.0364
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,0.4262,0.3898,75.0,8.0,-0.0364
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,0.4262,0.3898,75.0,8.0,-0.0364
xgboost,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,0.4405,0.4024,75.0,8.0,-0.0381
xgboost,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,0.4405,0.4024,75.0,8.0,-0.0381
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,0.4405,0.4024,75.0,8.0,-0.0381
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,0.4405,0.4024,75.0,8.0,-0.0381
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,0.432,0.3932,75.0,8.0,-0.0388
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,0.432,0.3932,75.0,8.0,-0.0388
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,0.432,0.3932,75.0,8.0,-0.0388
xgboost,perf_drop_0.1_lookback_3,perf,0.4248,0.3834,75.0,8.0,-0.0414
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,0.4238,0.3667,75.0,8.0,-0.0571
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,0.4238,0.3667,75.0,8.0,-0.0571
xgboost,perf_drop_0.2_lookback_3,perf,0.3968,0.3335,75.0,8.0,-0.0633
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,0.4231,0.3533,75.0,8.0,-0.0698
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,0.4231,0.3533,75.0,8.0,-0.0698
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,0.4281,0.3545,75.0,8.0,-0.0736
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,0.4281,0.3545,75.0,8.0,-0.0736
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,0.4281,0.3545,75.0,8.0,-0.0736
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,0.4281,0.3545,75.0,8.0,-0.0736
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,0.4281,0.3545,75.0,8.0,-0.0736
xgboost,perf_drop_0.15_lookback_6,perf,0.4194,0.3441,75.0,8.0,-0.0753
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,0.43,0.351,75.0,8.0,-0.079
xgboost,perf_drop_0.15_lookback_3,perf,0.4379,0.3455,75.0,8.0,-0.0924
