model_type,retrainer,exp_type,class,class_name,f1
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,1,neutral,0.477
lr,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,2,up,0.4506
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,0,down,0.492
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,1,neutral,0.4746
lr,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,2,up,0.461
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0,down,0.4746
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,1,neutral,0.4736
lr,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,2,up,0.4588
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,0,down,0.4714
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,1,neutral,0.477
lr,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,2,up,0.4506
lr,fixed_12,fixed,0,down,0.5143
lr,fixed_12,fixed,1,neutral,0.4895
lr,fixed_12,fixed,2,up,0.502
lr,fixed_3,fixed,0,down,0.5415
lr,fixed_3,fixed,1,neutral,0.472
lr,fixed_3,fixed,2,up,0.5131
lr,fixed_6,fixed,0,down,0.5395
lr,fixed_6,fixed,1,neutral,0.4698
lr,fixed_6,fixed,2,up,0.5183
lr,fixed_9,fixed,0,down,0.5214
lr,fixed_9,fixed,1,neutral,0.4873
lr,fixed_9,fixed,2,up,0.5103
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,0,down,0.5447
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,1,neutral,0.4743
lr,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,2,up,0.5182
lr,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,0,down,0.5423
lr,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,1,neutral,0.4773
lr,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,2,up,0.5174
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,0,down,0.5365
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,1,neutral,0.4736
