source,target,lag,window_count,persistence
GLD_lr,T10Y2Y_d,0,1,0.0119
BAA10Y_d,SPY_lr,3,1,0.0119
BAA10Y_d,UUP_lr,1,1,0.0119
USO_lr,SPY_lr,5,1,0.0119
SPY_lr,T10Y2Y_d,1,1,0.0119
USEPUINDXD_ld,BAA10Y_d,2,1,0.0119
DGS10_d,GLD_lr,4,1,0.0119
SPY_lr,GLD_lr,0,1,0.0119
DGS10_d,T10Y2Y_d,3,1,0.0119
T10Y2Y_d,GLD_lr,4,1,0.0119
USO_lr,BAA10Y_d,5,1,0.0119
GLD_lr,MOVE_d,5,1,0.0119
T10Y2Y_d,USEPUINDXD_ld,3,1,0.0119
