window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
27,2019-03-08,2021-03-08,24,False,True,True,2,0.4614,0.5333,"[0, 2, 2, 2, 1, 2, 1, 1, 0, 0, 2, 0, 0, 2, 2, 1, 0, 1, 2, 2, 1]","[0, 0, 2, 2, 1, 1, 0, 2, 2, 2, 0, 0, 1, 0, 2, 2, 0, 1, 2, 2, 0]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.5909,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
28,2019-04-08,2021-04-07,22,False,False,False,3,0.5456,0.3636,"[1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 2, 0, 2, 1, 1, 1, 2, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 2, 0, 1, 0, 1]","{""C"": 1.0, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.5969,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
29,2019-05-08,2021-05-06,23,True,True,False,0,0.1889,0.0667,"[2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 2, 1, 2, 0, 1, 1, 1, 1, 1, 0, 2]","[1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 2, 1, 1, 1, 1, 1, 1, 0, 2, 1]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.619,"{""(0, 7, 4)"": 0.333, ""(7, 3, 5)"": 0.167, ""(2, 2, 2)"": 0.333, ""(4, 5, 0)"": 0.167, ""(0, 2, 4)"": 0.167, ""(0, 5, 0)"": 0.333, ""(10, 10, 3)"": 0.5, ""(5, 9, 0)"": 0.167, ""(7, 6, 3)"": 0.5, ""(6, 6, 3)"": 0.667, ""(4, 6, 0)"": 0.5, ""(1, 2, 1)"": 0.5, ""(0, 9, 0)"": 0.5, ""(3, 6, 0)"": 0.667, ""(3, 8, 0)"": 0.167, ""(1, 1, 5)"": 0.167, ""(8, 7, 3)"": 0.167, ""(6, 1, 3)"": 0.167, ""(0, 10, 3)"": 0.167, ""(7, 7, 3)"": 0.167, ""(3, 8, 2)"": 0.167, ""(1, 0, 2)"": 0.167}",,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
30,2019-06-07,2021-06-07,19,False,False,True,1,0.3263,0.25,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 0]","[1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.6071,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
31,2019-07-09,2021-07-07,22,False,True,True,2,0.585,0.5714,"[1, 0, 2, 1, 0, 1, 0, 0, 0, 2, 2, 1, 2, 1, 0, 1, 1, 0, 0, 2, 0]","[0, 1, 2, 1, 1, 1, 0, 1, 0, 1, 2, 0, 2, 1, 0, 2, 1, 0, 0, 0, 1]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.681,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
32,2019-08-07,2021-08-05,22,False,False,False,3,0.524,0.2857,"[2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 1, 0, 2, 1, 1, 1, 1]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","{""C"": 0.1, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.7333,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
33,2019-09-06,2021-09-03,23,True,True,False,0,0.3952,0.4,"[1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 2, 0]","[2, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 2, 1, 2, 1, 1, 0, 0, 1, 1, 2]","{""C"": 0.010000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.7278,"{""(0, 7, 4)"": 0.167, ""(9, 6, 3)"": 0.167, ""(4, 5, 0)"": 0.333, ""(10, 10, 3)"": 0.667, ""(8, 8, 2)"": 0.333, ""(10, 1, 3)"": 0.167, ""(7, 6, 3)"": 0.167, ""(1, 2, 1)"": 0.167, ""(0, 9, 0)"": 0.5, ""(0, 2, 0)"": 0.333, ""(5, 6, 0)"": 0.167}",,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
34,2019-10-07,2021-10-05,25,False,False,True,1,0.4993,0.3636,"[2, 1, 2, 0, 0, 0, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 0, 2, 1, 1, 1]","[2, 0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","{""C"": 0.010000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.7701,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
35,2019-11-05,2021-11-03,24,False,True,True,2,0.6048,0.5833,"[2, 1, 1, 1, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 2]","[1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 0, 1, 1, 0, 0, 2, 0, 0, 2]","{""C"": 0.010000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.8036,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
36,2019-12-05,2021-12-03,18,False,False,False,3,0.563,0.6667,"[0, 2, 2, 1, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 1, 1, 0, 0, 2]","[0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 1, 1, 1, 2, 1, 1, 1]","{""C"": 0.010000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.7976,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
